Date,follower,follow,follower-par-follow
2017/08/28/00:30:04,2,5,0.4
2017/08/28/00:35:19,2,5,0.4
2017/08/28/00:46:21,2,5,0.4
2017/08/28/00:58:59,2,5,0.4
2017/08/28/01:03:18,2,5,0.4
2017/08/28/01:05:36,2,5,0.4
2017/08/28/01:06:31,2,5,0.4
2017/08/28/01:09:31,2,5,0.4
2017/08/28/01:13:50,2,6,0.3333333333333333
2017/08/28/01:26:35,2,6,0.3333333333333333
2017/08/28/02:08:06,2,6,0.3333333333333333
2017/08/28/02:09:03,2,6,0.3333333333333333
2017/08/28/02:12:32,2,6,0.3333333333333333
2017/08/28/02:14:38,2,6,0.3333333333333333
2017/08/28/02:49:49,2,6,0.3333333333333333
2017/08/28/03:46:59,2,6,0.3333333333333333
2017/08/28/04:49:49,3,6,0.5
2017/08/28/05:44:11,3,6,0.5
2017/08/28/08:49:47,3,8,0.375
2017/08/28/10:49:52,3,12,0.25
2017/08/28/12:11:56,4,15,0.26666666666666666
2017/08/28/14:49:50,4,14,0.2857142857142857
2017/08/28/16:49:49,4,15,0.26666666666666666
2017/08/28/18:49:52,5,16,0.3125
2017/08/28/22:49:48,7,16,0.4375
2017/08/29/02:49:49,7,17,0.4117647058823529
2017/08/29/06:49:54,8,17,0.47058823529411764
2017/08/29/07:58:45,8,17,0.47058823529411764
2017/08/29/08:49:54,8,17,0.47058823529411764
2017/08/29/10:49:51,9,17,0.5294117647058824
2017/08/29/12:49:54,9,18,0.5
2017/08/29/17:25:18,8,26,0.3076923076923077
2017/08/29/17:29:21,8,26,0.3076923076923077
2017/08/29/17:30:22,8,26,0.3076923076923077
2017/08/29/17:31:21,8,27,0.2962962962962963
2017/08/29/17:32:08,8,27,0.2962962962962963
2017/08/29/17:32:25,8,27,0.2962962962962963
2017/08/29/17:33:24,8,27,0.2962962962962963
2017/08/29/17:34:21,8,27,0.2962962962962963
2017/08/29/18:49:53,9,28,0.32142857142857145
2017/08/29/20:49:47,10,27,0.37037037037037035
2017/08/29/21:05:16,10,30,0.3333333333333333
2017/08/29/22:49:52,12,31,0.3870967741935484
2017/08/30/00:49:52,12,32,0.375
2017/08/30/02:49:48,12,33,0.36363636363636365
2017/08/30/04:49:48,12,34,0.35294117647058826
2017/08/30/06:49:53,12,35,0.34285714285714286
2017/08/30/08:49:48,12,35,0.34285714285714286
2017/08/30/12:49:49,12,36,0.3333333333333333
2017/08/30/16:49:49,12,36,0.3333333333333333
