Date,follower,follow,follower-par-follow
2017/08/29/17:19:05,1,0,0
2017/08/29/17:20:11,1,6,0.16666666666666666
2017/08/29/17:27:26,1,13,0.07692307692307693
2017/08/29/17:31:46,1,13,0.07692307692307693
2017/08/29/17:35:26,1,14,0.07142857142857142
2017/08/29/17:37:09,1,17,0.058823529411764705
2017/08/29/17:38:26,2,18,0.1111111111111111
2017/08/29/18:44:42,8,24,0.3333333333333333
2017/08/29/20:27:21,10,24,0.4166666666666667
2017/08/29/20:28:19,10,28,0.35714285714285715
2017/08/30/13:39:26,16,32,0.5
2017/08/30/14:37:30,15,44,0.3409090909090909
2017/08/30/14:38:02,15,46,0.32608695652173914
2017/08/30/16:01:02,18,49,0.3673469387755102
2017/08/30/17:26:13,18,51,0.35294117647058826
2017/08/30/18:00:58,18,52,0.34615384615384615
